Language,URL,Released Year,Programming Paradigm,Computational Class,Usability,Technical Characteristics,Specific Language Types or Features,Abstract
SQRT,https://esolangs.org/wiki/SQRT,2011,,,,,languages,SQRT is a programming language with the theme of algebra by User:ZirconiumX.
Mineso,https://esolangs.org/wiki/Mineso,2011,,,implemented,cell-based,low-level; languages,"Mineso is a turing-complete[citation needed] I can convert some BF to Mineso, but I don't know enough BF to convert anything programming language made by User:DeadlyFugu. It uses tape memory, which starts at position 0 and, if on a Turing machine, could go on for infinity. However, it'd be impracticle since Mineso uses unary, with the only number it has being '1'. Every operation in Mineso requires a number after it, having no 1's after it would be treated as a zero."
Bloux,https://esolangs.org/wiki/Bloux,2011,,unknown computational class,unimplemented,,languages,Bloux is an esoteric shell/file management system invented by User:iconmaster in December 2011. It implements a basic level of file management through stacking files in rectangular blocks.
AttoASM,https://esolangs.org/wiki/AttoASM,2011,,,implemented,,languages; low-level,"AttoASM is a language designed for the AttoWPU experimental processing unit, as part of the WPU (Weird Processing Unit) concept. AttoASM is the assembly language of the AttoWPU unit and thus corresponds to the basic operation of this architecture. Both AttoWPU and AttoASM use very minimalistic design and support only three elementary instructions that change individual bits on a bus. By a series of these elementary operations, various internal units can be controlled to perform various tasks."
SumaMoito,https://esolangs.org/wiki/SumaMoito,2012,,turing complete,,,languages,SumaMoito is a collection of languages that aims to include minimal Turing-complete languages with a particular style.
Spyrodecimal,https://esolangs.org/wiki/Spyrodecimal,,,,,,languages,"Spyrodecimal is an esoteric programming language created by Spyro543. It was designed to have only numbers as commands, but there are a few letters as commands, too."
J.A.V.A.,https://esolangs.org/wiki/J.A.V.A.,,,,,,languages; joke languages,J.A.V.A. or Just Another Verbose Annoyance is a WIP joke language by Tailcalled. It is an object disoriented language.
Stlang,https://esolangs.org/wiki/Stlang,2012,object-oriented paradigm,turing complete,implemented,stack-based,languages; high-level,"Stlang is a stack-based esoteric programming language invented by User:Feuermonster in 2012. The main idea is to create a stack-based esoteric language with a very sophisticated standard library which outshines other major languages' standard libraries. Also, due to possible use in golfing, often-used function names must have a short, symbolic alias. Stlang supports anonymous functions. But most importantly: The spirit of Stlang is to implement lots of features in very weird and esoteric ways no other language or sane person would implement them with."
Hollow,https://esolangs.org/wiki/Hollow,2012,,turing complete,implemented,stack-based,languages,"Hollow is an esolanguage based on low-level string-manipulation, designed by Keymaker in 2011, but completed and published in 2012. The language is Turing-complete. The memory model is an unbound stack of strings. Below is a nine-line program to showcase the language (the program's execution detailed in a section down the page):"
Basic Input/Output Commands,https://esolangs.org/wiki/Basic Input/Output Commands,,,unknown computational class,unimplemented,,languages; low-level,Basic Input/Output Commands is an esoteric assembly code-like programming language that simply uses device input/output.
Beam,https://esolangs.org/wiki/Beam,2012,,turing complete,implemented,cell-based,languages; two-dimensional languages,Beam is yet another two dimensional language thought of around mid-2010 by User:Feuermonster and implemented and published in 2012.
Fueue,https://esolangs.org/wiki/Fueue,2012,,turing complete,implemented,queue-based,languages; low-level,Fueue is a queue-based esoteric programming language created by Nathan van Doorn in 2012. Everything is stored in a single queue. The source of the program is converted to this queue on execution.
Absurd Brainfuck,https://esolangs.org/wiki/Absurd Brainfuck,2012,,turing complete,,,brainfuck derivatives; languages,"Absurd Brainfuck is a Brainfuck-derivative by User:Tailcalled. It is called 'absurd' because the side effects flow in the opposite direction of the data. In other words, when you change a cell, you change what it *was*, not what it is. This can lead to undecidable or paradoxical scenarios, of course, especially when using the , command."
Real Fast Nora's Hair Salon 3: Shear Disaster Download,https://esolangs.org/wiki/Real Fast Nora's Hair Salon 3: Shear Disaster Download,2012,functional paradigm,turing complete,implemented,,languages,Real Fast Nora's Hair Salon 3: Shear Disaster Download is a functional esoteric programming language created by Nathan van Doorn in 2012. It is based on the lambda calculus.
Nonsense Query List,https://esolangs.org/wiki/Nonsense Query List,2012,,,,,languages,"Nonsense Query Lists are almost the same as Structured Query Lists but very difficult to understand and having a much shorter size (in bytes). The Nonsense Query List language was originally created in 2012, based on the SQLite Structured Query List language, in an attempt to shorten original Structured Query List code as much as possible."
ProgFk,https://esolangs.org/wiki/ProgFk,2012,,unknown computational class,implemented,cell-based; binary,languages; low-level,ProgFk is a language created by User:David.werecat using nibbles as instructions and having theoretically infinite bitwise memory.
DBFV!,https://esolangs.org/wiki/DBFV!,2012,,turing complete,implemented,stack-based,languages,DBFV! is an esoteric programming language by User:David.werecat where each line of code is a separate function.
RunR,https://esolangs.org/wiki/RunR,2011,,unknown computational class,implemented,,languages; two-dimensional languages,"RunR is an esoteric programming language by User:David.werecat that works in a two dimensional space known as ""The Grid""."
SVM,https://esolangs.org/wiki/SVM,2012,,unknown computational class,implemented,,languages,SVM is an esoteric programming language by user:David.werecat that works as a virtual machine with expandable memory.
ELANG,https://esolangs.org/wiki/ELANG,2011,,unknown computational class,implemented,,languages; two-dimensional_languages,ELANG is an esoteric programming language by User:David.werecat which runs in two dimensions and has a two dimensional register matrix and a string register.
BrainFunge2,https://esolangs.org/wiki/BrainFunge2,2012,,,unimplemented,,languages,"BrainFunge2 is an esoteric programming language created by NSQX made of two-character instructions, based on a few commands in Brainfuck, a few commands in Befunge, and NSQX's other thoughts."
EGL,https://esolangs.org/wiki/EGL,2012,,unknown computational class,unimplemented,cell-based,languages; two-dimensional languages; low-level,EGL (Esoteric Gridding Language) is a two-dimensional fungeoid esoteric programming language designed by User:Sato.
2B,https://esolangs.org/wiki/2B,2012,,turing complete,implemented,cell-based,languages; low-level,2B is an esoteric programming language created by user:David.werecat in which memory is stored in a tape where each cell is a separate tape of bytes.
DALIS,https://esolangs.org/wiki/DALIS,2011,,unknown computational class,implemented,,languages; high-level,"DALIS is a cloud based programming language created by David from David's Blog in 2011. The language is still evolving. DALIS programs usually run server-side, but interpreters are also being developed for the .NET Micro Framework and the PC command line."
--C-=C-C--,https://esolangs.org/wiki/--C-=C-C--,2012,,turing complete,unimplemented,,languages,"--C-=C-C-- is a stripped-down version of C (or C--) which would rather look esoteric (but Turing complete). There is no concept of object-oriented programming in --C-=C-C--, and the only type in --C-=C-C-- is ""void"", the only mathematical operations that can be done directly with operators in --C-=C-C-- are addition and subtraction, the only kinds of conditions are (var) (if var is not 0) and (!var) (if var is 0), the only condition operators are || (OR) and && (AND), and only one character can be inputted using getchar() or one character can be outputted using putchar() (stdio.h) at a time. A simple ""Hello World!"" program in --C-=C-C-- would look like this:"
LLL,https://esolangs.org/wiki/LLL,2012,,bounded-storage_machine,implemented,cell-based,languages; two-dimensional languages; low-level,"LLL is an esoteric programming language designed by Lode Vandevenne in 2012. Programs in LLL are made from a circuit of logic components. Special components allow console input and output. A graphical mode where the circuit can be seen in action is also possible. In theory, an existing CPU could be built in this given its logic diagram."
Parenthetic,https://esolangs.org/wiki/Parenthetic,2012,functional paradigm,turing complete,implemented,,languages,The Parenthetic programming language is a functional programming language that (like Parenthesis Hell) uses only parentheses in its code. All other characters are considered comments.
Numeric Batch,https://esolangs.org/wiki/Numeric Batch,,,,implemented,,languages,Numeric Batch is an alternate form of Batch which has been entirely programmed in Batch. Created by User:Shubshub on 27 April 2012 in New Zealand.
!!!Batch,https://esolangs.org/wiki/!!!Batch,2012,,turing complete,implemented,,languages,"!!!Batch is another derivative of the Batch programming language created by Shubshub :D. !!!Batch is an encoding of Batch where each character is in the form of a question mark, followed by some amount of exclamation marks, then an optional marking character, and finally another question mark. Other characters are returned as-is. Since !!!Batch is an encoding of Batch, and Batch is Turing complete, so is !!!Batch."
Lambdastack,https://esolangs.org/wiki/Lambdastack,,,turing complete,implemented,stack-based,languages,Lambdastack is stack based esolang created by User:EzoLang.
Nevermore,https://esolangs.org/wiki/Nevermore,,,,,,brainfuck derivatives; languages,"Nevermore is an esoteric programming language created by User:ajzaff.  The language and syntax rules are designed to be overly obscure, and therefore, make it difficult to program."
URSL,https://esolangs.org/wiki/URSL,2012,,turing complete,implemented,cell-based; stack-based; queue-based,languages,"URSL is an esoteric programming language created by user:David.werecat which has a stack, queue, tape, memory array and ten registers."
Macmac,https://esolangs.org/wiki/Macmac,2012,functional paradigm,turing complete,implemented,stack-based,languages,Macmac is an esoteric programming language created by user:David.werecat in which every command is a function and loops are emulated using macros.
VTL,https://esolangs.org/wiki/VTL,2012,,,implemented,,languages; low-level,VTL is an esoteric programming language created by user:David.werecat which loads code into modifiable memory and an extended section.
Mobius,https://esolangs.org/wiki/Mobius,2012,,finite state automata,implemented; output only; unusable for programming‏‎,cell-based,languages; two-dimensional languages,"Mobius is an esoteric programming language created by user:David.werecat which reads images as program code, executes in two dimensions, and has only audio output.  It stands alongside URSL, Macmac and VTL as languages that were all created on the same day, which was when the author had a streak of insanity and created 4 languages in one day."
~English,https://esolangs.org/wiki/~English,2012,,,implemented,,languages; high-level,"~English (NOT English) is an esoteric attempt at using a natural language as a programming language. It was designed and implemented by user:AnotherTest.
A statement is an English sentence. The language syntax is very loose, it is thus possible to write nonsensical sentences. Keywords always have multiple synonyms.
The are 7 types of statements in ~English:"
123,https://esolangs.org/wiki/123,2012,,turing complete; turing tarpits,implemented,cell-based,languages; low-level; brainfuck derivatives,123 is an esoteric programming language created by user:David.werecat which further minimizes asdf.
Logical,https://esolangs.org/wiki/Logical,2012,,,implemented,,languages,Logical is an esoteric programming language created by user:David.werecat which doesn't do what you think it should.
Monkeys,https://esolangs.org/wiki/Monkeys,2012,object-oriented paradigm,,implemented,,languages; two-dimensional languages; thematic,Monkeys is an Esoteric programming language by user:david.werecat which is based entirely on the interaction of monkeys.
BrainfuckXT,https://esolangs.org/wiki/BrainfuckXT,,,,,,brainfuck_derivatives; languages,"BrainfuckXT is an extension to Brainfuck by User:KryptonX. BrainfuckXT is a compiled language targeting the .NET Framework. Changes have not been made to Brainfuck syntax and functions. Brainfuck code is valid BrainfuckXT code. Both can be used in unison. Features have been added to make the language more powerful, although BrainfuckXT does not make commercial grade software. Nonetheless, useful daily applications can be made. A compiler can be obtained from here and the source from my github."
Headsecks,https://esolangs.org/wiki/Headsecks,2012,,turing complete; turing tarpits,implemented,cell-based,languages; brainfuck equivalents; brainfuck derivatives; brainfuck derivatives; low-level,"Headsecks is a brainfuck equivalent in which each character of the source code is interpreted as its ordinal value modulo 8, from which the instruction to execute is determined. It was designed and implemented by User: andkerosine in May 2012."
BSM,https://esolangs.org/wiki/BSM,2012,,turing complete,implemented,stack-based,languages; low-level,BSM is an esoteric programming language created by user:David.werecat which executes instructions based on an 8-bit state machine with a single bit modifier.
Dark,https://esolangs.org/wiki/Dark,2012,object-oriented paradigm,turing complete,implemented,,languages; thematic; high-level,Dark is an Esoteric programming language by user:David.werecat which is designed to be inherently evil.
BFEnet,https://esolangs.org/wiki/BFEnet,,,,,,languages; brainfuck derivatives,BFEnet (Brainfuck Extended for .Net) is an extended Brainfuck translator to C#. This language is focused on advanced console output. Memory size can be changed with command-line parameter. Microsoft .Net 3.5 or 2.0 command line compiler (csc.exe) is required to build translated BFEnet code.
Fuck4,https://esolangs.org/wiki/Fuck4,,,,,,brainfuck_derivatives; languages,"Fuck4 is four command esoteric language.
Fuck4 machine by default has 8 half-bytes 0-127, but this is not strict. In any case memory is finite and looped, this why only one-way pointer shift is required."
DcScript,https://esolangs.org/wiki/DcScript,,,,implemented,,languages,"dcScript is an esoteric language created by Daaloul Chiheb on September 2011.
It is designed to be useful but is minimalistic and is hard to code with it for big projects."
Light Pattern,https://esolangs.org/wiki/Light Pattern,2012,,,implemented,,languages,"In Light Pattern, a series of photos constitutes source code. Changes in exposure and dominant color from one image to the next determine commands – the language has no regard for the content of the images apart from these attributes. Photos sit in a single directory and are read in alphabetical order. Light Pattern programs can be hidden in family photographs or any collection of images, given they are arranged in the right order."
Atom,https://esolangs.org/wiki/Atom,,,turing complete,,,languages,Atom is a Turing-Complete programming language that is designed to obfuscate software. It does this skillfully by allowing line numbers to be mixed and even broken up.
Pit,https://esolangs.org/wiki/Pit,2012,,unknown computational class,implemented,,languages; low-level,Pit is an Esoteric programming language by user:david.werecat which is designed to be extremely low level.
Wittgen,https://esolangs.org/wiki/Wittgen,2012,,,implemented,,languages,"Wittgen is a serious, but as yet esoteric, programming language that has only two instructions: assign and retrieve."
KanjiCode,https://esolangs.org/wiki/KanjiCode,,,turing complete,,,cjk,"KanjiCode (漢字コード) is a language created by ACVC in 7/1/2012. It has similarities to FALSE and Underload. As the very own name suggests, it's a language that aims to use as much Kanji as possible. There are currently no compilers for the language, only one interpreter, written in C#. It is very similar to FALSE in almost all aspects. For example, it's possible to create lambda expressions and store then into user-defined variables. Also, it's stack oriented : just like FALSE."
Eniuq,https://esolangs.org/wiki/Eniuq,2012,,turing complete,implemented,stack-based; queue-based,languages,"Eniuq is a stack- and queue-based esoteric programming language in which it is impossible to write nontrivial quines, but flow control is done by the methods normally used for quines.  It was invented by Edward Cree."
SGMJQFuck,https://esolangs.org/wiki/SGMJQFuck,2012,,turing complete; turing tarpits,implemented,,languages; brainfuck derivatives,"SGMJQFuck is a brainfuck deriviative created in 2012 by User:X0wl. Although it supports all the brainfuck fuctionality and instructions, it has extensions to allow the self-modifying code."
Iris,https://esolangs.org/wiki/Iris,2012,,,,,languages,Interesting Random Instruction Sets (IRIS) is a language authored by User:Montywest in 2012.
Klon,https://esolangs.org/wiki/Klon,2012,,,implemented; total; unusable for programming,cell-based,languages,Klon is a programming language created by User:KlonMac7.
Troupe,https://esolangs.org/wiki/Troupe,2012,,turing complete,unimplemented,,languages,"Troupe is an esoteric programming language designed by Chris Pressey on June 25, 2012, in Winnipeg, Manitoba, Canada."
Yboy,https://esolangs.org/wiki/Yboy,2012,,,,cell-based,languages,Yboy (Your Brain On Yboy) is an esoteric programming language written by David Seaman in 2012.
Nqubl,https://esolangs.org/wiki/Nqubl,2012,,,implemented,queue-based; stack-based,languages,Nqubl is an esoteric programming language created by user:David.werecat where instructions are queued and must be explicitly executed.
Inline,https://esolangs.org/wiki/Inline,2012,,turing complete,implemented,cell-based,languages,Inline is an esoteric programming language created by User:OberoN.
Burlesque,https://esolangs.org/wiki/Burlesque,2012,,turing complete,implemented,stack-based,languages; golfing language,"Burlesque is a concatenative, dynamic typed, lazy programming language by User:Feuermonster, and the successor
of Stlang but less feature bloated. The name means what it means.
The main design goals of Stlang still
apply. Burlesque evolved to be a programming language used for both serious applications and golfing too. For a complete description of the language please refer to the Moonpage."
Bytemap,https://esolangs.org/wiki/Bytemap,2012,,,,,languages; low-level; two-dimensional languages,"Bytemap is a self-modifying language that stores all source and data in the same place and format.
All commands and data are written onto an indefinitely large 2D grid of bytes.
Bytes may be read as instructions, read as data, or written over by other instructions."
RU,https://esolangs.org/wiki/RU,2010,,,implemented,concurrent programming,languages; two-dimensional languages,RU is a multithreaded two dimensional esoteric programming language. It was invented by Adrian Toncean in 2010 and was first featured in the programming game called Robot Unlock!!!.
Doorspace,https://esolangs.org/wiki/Doorspace,2012,object-oriented paradigm; functional paradigm,turing complete,implemented,,languages; thematic; high-level,"Doorspace (or ""Qugord"") is an Esoteric programming language by user:David.werecat where the program is a series of doors and everything is stored in arrays."
Dirst,https://esolangs.org/wiki/Dirst,2012,,turing complete,implemented,,languages; high-level,Dirst is an Esoteric programming language by user:David.werecat where the source code is a directory.
Benul,https://esolangs.org/wiki/Benul,2012,,unknown computational class‏‎,implemented,queue-based,languages; low-level,Benul is an esoteric programming language created by user:David.werecat where the source code is only BEL and NUL characters.
Loose Circular Brainfuck (LCBF),https://esolangs.org/wiki/Loose Circular Brainfuck (LCBF),2012,,turing complete,implemented,cell-based,languages; brainfuck derivatives,Loose Circular Brainfuck (LCBF) is created by Maurice Ling and is a derivative of Brainfuck. It is originally meant as a generic mechanism to test out different varieties of assembly or op-code typed languages.
NucleotideBF (nBF),https://esolangs.org/wiki/NucleotideBF (nBF),2012,,finite state automata,unusable for programming; implemented; total,cell-based,languages; brainfuck derivatives,"NucleotideBF (nBF)  is created by Maurice Ling which is a derivative of Brainfuck based on IUPAC nucleotide code. It uses only 5 of the 8 operations in Brainfuck, and there is no loop operations."
Ragaraja,https://esolangs.org/wiki/Ragaraja,2012,,turing complete,,cell-based,languages; brainfuck derivatives,"Ragaraja is created by Maurice Ling and is a derivative and massive extension of Brainfuck. This work is influenced by a large number of Brainfuck derivatives, other esoteric programming languages, and even assembly languages. Probably the most critical difference between Ragaraja and other Brainfuck derivatives is the large number of commands / instructions - 1000 possible commands / instructions, inspired by Lord Nandi (Lord Shiva's mount) who was supposed to be the first author of Kama Sutra and wrote it in 1000 chapters."
Ser2,https://esolangs.org/wiki/Ser2,2012,,turing complete,,,languages,"ser2 was created between 2009 and 2012. Its name abbreviates ""Search Entity and Replace"", the ""2"" indicates the second attempt. ser2 is inspired by C++ template meta-programming. It is a minimalistic functional language with the initial and final state predefined and built-in i/o."
Cfluviurrh,https://esolangs.org/wiki/Cfluviurrh,2012,,turing complete,,,languages,"Cfluviurrh is an esoteric programming language designed and implemented by Chris Pressey on August 25th and 26th of 2012, in Winnipeg, Manitoba, Canada, based an on idea that occurred to him about a year earlier in Pearson International Airport, Toronto."
X.so,https://esolangs.org/wiki/X.so,2012,,,implemented,stack-based,languages,"X.so is a stack-based, esoteric programming language created by User:AnotherTest.
The X in the name comes from extensible, and the so extension refers the to the shared object files that the X.so interpreter may dynamically load as a form of plugins."
Knight Shuffling Tower,https://esolangs.org/wiki/Knight Shuffling Tower,2012,,unknown computational class,usability unknown; implemented,queue-based,languages,"Knight Shuffling Tower is an esoteric programming language created by User:Koen in 2012. It is based on a special data structure which is almost, but not quite, a queue."
Electric BitFunk,https://esolangs.org/wiki/Electric BitFunk,2012,,unknown computational class,no io; unimplemented,cell-based,languages; two-dimensional languages; brainfuck derivatives; low-level; low-level,"Electric BitFunk is a two-dimensional esoteric programming language created by User:Koen on 2012, september 9. It was inspired mainly by Electric Go, an ""esoteric"" variant of the game of go (see External resources below).
Electric BitFunk operates on a tape of bits, using instructions borrowed from BitChanger. However, those instructions affect the playfield as well, making programming in Electric BitFunk a challenge somewhat similar to Half-Broken Car in Heavy Traffic."
Fackward,https://esolangs.org/wiki/Fackward,2012,,unknown computational class,unimplemented,stack-based,languages; low-level,"Fackward is a stack-based esoteric programming language created by User:Koen in 2012. It is an attempt to make a stack-based, but still Turing-Complete, language similar to Fueue, which is queue-based. In Fackward, there is only one data structure. It is made of two stacks, the forward stack and the backward stack. When execution starts, the source of the program is converted to the forward stack. The backward stack is initially empty."
Jolverine,https://esolangs.org/wiki/Jolverine,2012,,turing complete,implemented,,languages; two-dimensional languages; low-level,"Jolverine is an esoteric programming language designed by Chris Pressey between September 10 and 11, 2012.  It was devised as a conscious attempt to expand the genre of turning tarpit by adding the feature of modifying the instruction wheel during execution.  It is not dissimilar to Wunnel, and was influenced slightly by Half-Broken Car in Heavy Traffic."
ComeFrom,https://esolangs.org/wiki/ComeFrom,2012,,,implemented; usability_unknown,stack-based,languages; low-level,"ComeFrom is a language made by David Roberts. It is also known as the ComeFrom Language, or CFL for short. Its notable feature is that the only flow-control constructs are comefroms and conditional comefroms. (A comefrom is the opposite of a goto.) In addition, the only storage it has is a variable stack which doubles as returned output. However, you may print variables while the program is running. In event of catastrophic failure, the language only tells why it has crashed, not why your program has crashed. It has one error message to help, but due to implementation details this is impossible to trigger."
REVER,https://esolangs.org/wiki/REVER,2012,,,unimplemented,,languages,"REVER is a reversible programming language, which has a lot of things, but not quite everything."
*brainfuck,https://esolangs.org/wiki/*brainfuck,2012,,turing complete; turing tarpits,implemented,cell-based,languages; brainfuck_derivatives; low-level,"*brainfuck is a tape-based esoteric programming language designed in september 2012 by User:Koen. It is identical to brainfuck, except that the instructions > and < have been replaced by an extensive use of pointers. The name is read ""pointed brainfuck"" and is inspired by the operator * from the language C."
Kkipple,https://esolangs.org/wiki/Kkipple,2012,,turing complete,,stack-based,languages,"Kkipple is a close derivative of the stack-based language Kipple. The idea of making a derivative came when User:Koen tried to write an interpreter, then realized it was as far from the specifications as was possible to be. The name is pronounced like stuttering the word ""Kipple""."
FiM++,https://esolangs.org/wiki/FiM++,2012,object-oriented paradigm,,,,languages; high-level; thematic,"FiM++ is an object-oriented language made by fans of My Little Pony: Friendship is Magic, which takes its name from the initials of the show's subtitle. Its syntax and structure are inspired by Java and ALGOL. The original idea was published on October 4th, 2012 by Cereal Velocity, one of the bloggers on Equestria Daily and inventor of the language, after being unable to find pre-existing programming language based on My Little Pony. It was then picked up by an team of community programmers and completed within the month."
BCDFuck,https://esolangs.org/wiki/BCDFuck,2012,,,unimplemented,,languages; brainfuck derivatives,"BCDFuck takes a stream of bytes and reads each byte as two BCD-encoded 4-bit words. Like other Brainfuck variants, BCDFuck operates on an array of cells, which in this case are 4 bits wide. The digits 0-9 are entered directly into the cells while the six 'wasted' states of 4-bit BCD encoding are translated into brainfuck-like instructions that act on the aforementioned array. Since any 4-bit word is a valid BCDFuck instruction, it would follow that all cells can be executed (as long as potential problems like unbalanced brackets can be ignored)."
SELECT.,https://esolangs.org/wiki/SELECT.,2012,,turing complete,implemented,graphical output,languages; brainfuck derivatives,"SELECT. is a minimalistic esoteric programming language based on exponentials and logarithms. It is based on brainfuck, but replaces the usual operations of incrementation and decrementation with exponentials and logarithms, and replaces the usual unsigned integers with double-precision complex numbers held on each cell. Also, programming in it is very unlike programming in brainfuck, as the only operations which haven't been changed semantically from brainfuck are LEFT. and RIGHT. (brainfuck's < and >)."
EOOOL,https://esolangs.org/wiki/EOOOL,2012,object-oriented paradigm,,implemented,stack-based,languages,"EOOOL stands for Esoteric Obfuscated Object Oriented Language
(I know it is redundant to say a language is esoteric or obfuscated on this site, but I do not really care.)"
WASD,https://esolangs.org/wiki/WASD,2012,,,implemented,,languages; brainfuck derivatives,Current Version 1.1
ZiziQue,https://esolangs.org/wiki/ZiziQue,,,unknown computational class,usability unknown; unimplemented,,languages,"ZiziQue is a very mysterious esoteric programming language. The only thing known about ZiziQue is that, in it, an implementation of Deadfish might look like this:"
BrainCurses,https://esolangs.org/wiki/BrainCurses,2012,,turing complete,implemented,deque-based,languages; brainfuck_derivatives,"BrainCurses is a language derived from Brainfuck, using a deque instead of a tape for memory. Its name comes from the fact that programs usually resemble censored swearing in cartoons such as #@!*&@^!."
Carriage,https://esolangs.org/wiki/Carriage,2012,,unknown computational class,implemented; no io,stack-based,languages,"Carriage is a concatenative programming language designed by Chris Pressey
in mid-November 2012.  It is the result of trying to devise a ""pure""
concatenative language, i.e. one where the rule ""concatenation = function
composition"" is taken to be strictly literal and universal (with no exceptions
such as allowing nested quoted programs.) It falls short of
that goal somewhat, but it has some mildly unusual properties, so it is presented
here as an esolang."
Expload,https://esolangs.org/wiki/Expload,2012,,unknown computational class; turing tarpits,unimplemented; output only,stack-based,languages; low-level,Expload is an esoteric programming language designed by Chris Pressey at the start of December 2012.  It is an Underload derivative where programs cannot be guaranteed to be executed efficiently because individual instructions are selected for execution based on EXPTIME-complete problem instances.
Radixal!!!!,https://esolangs.org/wiki/Radixal!!!!,2012,,unknown computational class,usability unknown; unimplemented,cell-based,languages,"Radixal!!!! is an esoteric language created collaboratively by the #esoteric IRC channel on 7 December 2012. The details of the spec were mostly worked out by User:ais523. The language revolves around having a numerical representation that can't represent certain numbers, and commands that are specifically designed to be awkward to use, while still quite powerful. Therefore, it can be considered to be in the same family as Malbolge and Dis, although probably rather easier, and without exactly the same purpose."
Mascarpone,https://esolangs.org/wiki/Mascarpone,2007,,turing complete,implemented,stack-based,languages,"Mascarpone is a stack-based, self-redefining programming language designed by Chris Pressey in 2007 as a successor to Emmental.  In Mascarpone, meta-circular interpreters are first-class values; the interpreter currently being used to interpret the program may be pushed onto the stack (""reified"") and manipulated, and an interpreter on the stack may be popped and used as the interpreter for the following part of the program (""deified"")."
YASBL,https://esolangs.org/wiki/YASBL,,,,,stack-based,languages,"YASBL stands for ""Yet Another Stack Based Language"" ."
Quipu,https://esolangs.org/wiki/Quipu,2013,,turing_complete,implemented,,languages; low-level; thematic; two-dimensional languages,"Quipu is an esoteric programming language inspired by Quipus (also known as ""talking knots"") – recording devices historically used by Incas. Quipu was originally designed by Vladimir Kostyukov in Jan 2013."
A0A0,https://esolangs.org/wiki/A0A0,2013,,,implemented,queue-based,languages,"A0A0 is a queue-based, self-modifying programming language created by User:Snowyowl in 2013."
TScript,https://esolangs.org/wiki/TScript,2013,,,implemented; usability unknown,,low-level; languages,"TScript is a language created by User:Iconmaster in 2013. It is a simple descriptive language used to shorten the amount of code in the programming of turtles in the Minecraft mod ComputerCraft. TScript code consists of single-character expressions, each being expressed as a single ComputerCraft function call. It is a very basic language, and relies on the outside interface to compose the correct sequence for any loops. It technically can compile into CC Lua code."
Mornington Crescent,https://esolangs.org/wiki/Mornington Crescent,2013,,unknown computational class,non-interactive io,,languages; thematic,"Mornington Crescent, named after Mornington Crescent tube station in London and invented by Timwi in 2013 as somewhat of a tribute to the game of Mornington Crescent, is an esoteric programming language in which the data pointer moves through the London Underground by traveling by tube from station to station, starting and ending at Mornington Crescent."
Shove,https://esolangs.org/wiki/Shove,2008,,,implemented; output only,stack-based; cell-based,languages; two-dimensional languages; low-level,"Shove is an esoteric programming language created by User:ais523 in 2008, but ais523 forgot to tell anyone about it until 2013. It is based on the idea of shoving strings into a self-modifying, two-dimensional program, pushing other content out of the way."
0815,https://esolangs.org/wiki/0815,2013,,turing complete,implemented,queue-based,languages; low-level,0815 is an esoteric programming language designed and implemented between December 2012 and January 2013 by Paulo Jorente.
Braintrust,https://esolangs.org/wiki/Braintrust,,,,implemented,,brainfuck derivatives; languages,"Braintrust is an esolang by User:Sgeo similar to Brainfuck. It is intended to be compiled, and the compiler, written in Braintrust, itself has no knowledge of the target platform directly. Rather, all such information is part of the primitive command !. The information itself is stored in the resulting target code."
Zucchini,https://esolangs.org/wiki/Zucchini,2013,,,implemented,,languages; low-level,"Zucchini is another minimalist language. In it, everything is a node that sends signals to other nodes."
Triforce,https://esolangs.org/wiki/Triforce,2013,,turing complete,implemented,cell-based,languages; brainfuck_derivatives; low-level,"Triforce is a tape based esoteric programming language designed by Anthony Ma in 2013. Triforce is identical to brainfuck while purely using triangles, and with the addition of an operator that resets a memory cell to 0. Triforce files are stored with the extension .▲ The language and name is inspired by the Triforce of the Legend of Zelda series."
RAGE!!!,https://esolangs.org/wiki/RAGE!!!,2013,,,implemented,,languages,"RAGE!!! is an esoteric programming language created in 2013 by Sean Doyle that is based on Python and is designed to be somewhat functional and useless at the same time.
It involves the use of statements of rage as part of the syntax and uses !!! in the same way ; is used to end the line in Java or C++."
REBEL,https://esolangs.org/wiki/REBEL,2013,,turing complete,implemented,,languages,REBEL stands for Regular Expression Based Esoteric Language. REBEL is a declarative programming language that works by iteratively replacing substrings.
Agony,https://esolangs.org/wiki/Agony,2013,,,programming games; implemented,cell-based,languages; brainfuck_derivatives,Agony is an esoteric programming language devised by Roy van Rijn in March 2013.
Amelia,https://esolangs.org/wiki/Amelia,,,,implemented,,languages,Amelia:
Everett,https://esolangs.org/wiki/Everett,,,,implemented,,languages; high-level; joke languages,
Noodle Soup,https://esolangs.org/wiki/Noodle Soup,2013,,unknown computational class,implemented,cell-based,languages; brainfuck derivatives,"Noodle Soup is a Spoon derivative, which by the transitive property also makes it a brainfuck derivative."
Magic,https://esolangs.org/wiki/Magic,2013,,,implemented,,languages; thematic,"Magic, created by User:GOMADWarrior in 2013, and still in development, is a language where you summon spirits, objects with a list of instructions, to do your bidding. You summon spirits with spells, the recipe of the spirits. It is also meant to be kind of concurrent, as in executing one instruction per time before jumping to the next spirit."
Nothing,https://esolangs.org/wiki/Nothing,,,,implemented; unusable for programming; total,,languages; joke languages,The Nothing is an esoteric programming language designed for bug-free programming.
